,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek
83,High,USA,M,15,E,DBAP,Y,14,2.0,6,T,PB,S,M,,,,,,
84,Very Low,USA,M,25,E,A,N,15,3.0,0,c,E,S,M,,,,,,
85,Very Low,Poland,M,13,E,DBAP,Y,13,1.0,2,m,PB,S,M,,,,,,
86,Very High,USA,M,22,E,M,Y,11,3.0,6,C,PB,C,M,,,,,,
87,Low,USA,M,2,E,DBAP,N,3,1.0,4,C,PB,S,F,,,,,,
88,Low,USA,M,8,E,D,Y,6,2.0,2,C,PB,,F,,,,,,
89,Mid,USA,M,18,E,DBAG,Y,12,1.0,2,T,PB,S,M,,,,,,
90,Mid,Canada,M,24,E,M,Y,2,1.0,6,C,PB,S,M,,,,,,
91,Very High,USA,M,22,E,DA,Y,22,2.0,0,C,PB,S,M,,,,,,
92,Mid,USA,A,1,E,D,N,3,1.0,2,c,E,S,F,,,,,,
93,Very High,USA,M,13,E,DBAG,N,8,3.0,2,m,SG,SE,M,,,,,,
94,Mid,USA,M,2,E,DBAP,Y,1,1.0,0,c,PB,SR,M,,,,,,
95,High,USA,M,12,E,DBAG,N,8,4.0,1,m,PB,SR,M,,,,,,
96,Very High,USA,M,8,E,M,Y,3,2.0,0,t,PB,S,M,,,,,,
97,Mid,USA,M,17,E,DT,N,7,2.0,3,m,PB,S,M,,,,,,
98,Low,Romania,M,3,E,A,Y,22,2.0,0,m,PB,C,M,,,,,,
99,High,USA,M,15,IC,DBAG,N,30,6.0,6,C,SG,S,M,,,,,,
100,Low,USA,MS,1,E,DBAP,N,1,1.0,0,C,PB,S,,,,,,,
101,Mid,USA,M,9,E,DBAG,N,7,1.0,0,c,LG,S,M,,,,,,
102,Very High,USA,M,13,E,DBAG,Y,13,4.0,1,c,PB,S,M,,,,,,
103,Very High,USA,M,20,IC,DT,N,20,6.0,0,m,PB,S,M,,,,,,
104,Very Low,UK,M,10,E,DBAP,N,10,3.0,2,t,E,SR,M,,,,,,
105,Very High,USA,M,17,E,DBAG,N,17,6.0,6,C,PB,S,M,,,,,,
106,High,USA,M,7,EC,DBAG,N,7,2.0,2,C,PB,SR,M,,,,,,
107,High,USA,M,8,E,DBAG,Y,8,4.0,3,m,NP,S,M,,,,,,
108,Low,UK,M,15,E,M,Y,13,1.0,0,T,PB,C,M,,,,,,
109,Very High,Ireland,M,20,E,M,Y,20,2.0,1,m,PB,S,M,,,,,,
110,High,USA,M,13,E,DT,N,13,2.0,0,T,E,S,M,,,,,,
111,Low,UK,M,17,E,DBAG,N,27,6.0,0,m,E,S,M,,,,,,
112,Very High,USA,M,20,EC,D,N,7,5.0,2,m,PB,S,M,,,,,,
113,Very High,USA,M,20,E,DBAG,N,19,2.0,2,c,NP,S,M,,,,,,
114,Mid,USA,M,8,E,AN,N,8,1.0,1,C,E,S,M,,,,,,
115,High,USA,M,6,E,DBAG,Y,5,1.0,2,m,PB,S,M,,,,,,
116,Low,UK,M,10,E,DT,N,2,2.0,0,C,PB,S,M,,,,,,
117,Very Low,South-Africa,M,14,E,D,N,14,3.0,0,t,PB,SE,M,,,,,,
118,Very High,USA,M,13,E,DBAG,Y,6,3.0,0,m,PB,S,M,,,,,,
119,Very Low,UK,M,8,E,DBAG,N,8,1.0,0,C,PB,S,M,,,,,,
120,Very High,USA,M,15,E,E,N,21,1.0,0,C,PB,S,M,,,,,,
121,Very High,USA,M,13,E,D,N,10,3.0,0,c,PB,S,M,,,,,,
122,Mid,USA,M,15,E,DBAG,N,15,2.0,1,m,E,SE,F,,,,,,
123,Low,USA,M,12,E,DA,N,12,2.0,0,m,E,S,M,,,,,,
124,Very High,USA,M,10,E,D,N,12,2.0,1,m,PB,S,M,,,,,,
125,Very Low,India,M,13,EC,DBAD,N,13,1.0,0,C,PB,SR,M,,,,,,
126,Mid,USA,O,20,E,DBAG,N,10,2.0,1,c,NP,S,M,,,,,,
127,Very Low,Portugal,M,2,E,DBAD,N,2,1.0,0,C,PB,S,M,,,,,,
128,Very High,USA,M,15,IC,DA,Y,20,4.0,1,C,PB,S,M,,,,,,
129,High,USA,M,20,E,DBAG,N,5,6.0,0,m,PB,S,M,,,,,,
130,High,USA,M,17,E,D,N,17,1.0,1,m,PB,S,M,,,,,,
131,Mid,USA,M,15,EC,DBAD,N,15,2.0,1,m,PB,S,F,,,,,,
132,Mid,USA,M,8,E,DA,N,8,3.0,6,c,PB,S,M,,,,,,
133,Mid,Canada,M,9,E,DBAP,N,9,3.0,1,m,PB,SR,M,,,,,,
134,Very Low,USA,M,1,E,DBAD,N,1,1.0,1,c,PB,SE,M,,,,,,
135,High,USA,M,25,E,DBAD,N,25,6.0,1,c,PB,,M,,,,,,
136,High,USA,M,13,E,DBAG,N,13,2.0,0,m,PB,S,M,,,,,,
137,Very High,USA,M,20,E,E,N,1,1.0,3,m,PB,,M,,,,,,
138,High,USA,MS,3,E,DBAP,Y,22,4.0,0,m,PB,SE,M,,,,,,
139,Very Low,UK,M,3,E,,N,3,1.0,0,C,SG,S,M,,,,,,
140,Very High,USA,M,22,EC,DBAG,N,3,5.0,4,T,PB,S,M,,,,,,
141,Very High,UK,M,15,E,A,N,15,6.0,0,c,FG,SE,M,,,,,,
142,Very High,USA,M,25,E,DBAD,N,10,3.0,0,T,PB,S,M,,,,,,
143,High,USA,M,6,E,DT,N,6,2.0,6,C,PB,,M,,,,,,
144,Low,USA,M,15,E,DBAG,N,15,1.0,4,m,PB,S,M,,,,,,
145,Very High,USA,M,14,E,DBAD,N,2,4.0,5,c,PB,S,M,,,,,,
146,Mid,USA,M,1,E,DBAG,N,17,3.0,0,m,PB,S,M,,,,,,
147,High,USA,M,8,E,DBAG,Y,6,1.0,6,C,PB,S,M,,,,,,
148,Mid,USA,M,18,E,M,Y,2,1.0,5,C,SG,S,M,,,,,,
149,High,USA,M,8,E,DT,N,8,4.0,4,C,PB,S,M,,,,,,
150,Very High,USA,M,20,E,DBAG,N,11,2.0,6,m,PB,,M,,,,,,
151,Low,Romania,M,12,IC,DBAG,N,6,1.0,0,C,PB,S,M,,,,,,
152,High,USA,M,20,E,DA,N,24,1.0,1,m,PB,S,M,,,,,,
153,High,USA,M,16,E,DBAG,N,16,3.0,5,C,PB,S,M,,,,,,
154,Mid,USA,M,12,E,DBAG,N,12,1.0,0,c,E,S,M,,,,,,
155,Mid,USA,M,6,E,DA,N,8,1.0,2,C,PB,S,M,,,,,,
156,Very Low,USA,M,1,E,,N,2,1.0,0,T,PB,C,M,,,,,,
157,Very High,USA,M,8,IC,D,N,8,6.0,3,m,NP,S,M,,,,,,
158,Very High,USA,M,25,E,M,Y,10,6.0,0,C,PB,S,M,,,,,,
159,Very Low,UK,M,8,E,DBAG,N,2,1.0,1,T,PB,SR,M,,,,,,
160,High,USA,M,14,E,DBAG,N,10,2.0,0,m,PB,S,M,,,,,,
161,High,USA,M,20,E,DBAP,N,20,2.0,0,c,PB,S,M,,,,,,
162,Mid,CostaRica,M,15,E,DBAG,Y,15,2.0,1,t,PB,SE,M,,,,,,
163,High,USA,M,14,E,DBAP,N,14,3.0,2,m,PB,SR,M,,,,,,
164,Mid,USA,M,23,E,DA,N,32,2.0,0,t,LG,S,M,,,,,,
165,Low,Canada,M,8,E,DA,N,16,3.0,1,m,PB,S,M,,,,,,
166,Mid,USA,M,18,E,M,Y,2,1.0,0,C,SG,S,M,,,,,,
167,High,USA,M,20,E,DBAG,N,6,5.0,2,m,LG,S,M,,,,,,
168,High,USA,M,25,E,DBAD,N,15,3.0,0,m,PB,S,M,,,,,,
169,Very High,USA,M,27,E,A,N,30,5.0,0,c,PB,S,M,,,,,,
170,Low,USA,M,5,E,DBAD,N,1,2.0,2,c,PB,S,M,,,,,,
171,Very Low,UK,M,15,E,DBAP,N,8,3.0,0,c,PB,C,M,,,,,,
172,Mid,Israel,M,5,E,DBAD,N,4,3.0,1,C,PB,S,M,,,,,,
173,High,USA,M,8,E,DBAP,N,6,1.0,6,C,PB,S,M,,,,,,
174,Mid,Ireland,M,23,E,DBAG,N,14,4.0,1,c,PB,S,M,,,,,,
175,Very High,USA,M,21,E,DBAG,Y,17,2.0,0,c,PB,SR,M,,,,,,
176,Mid,USA,M,25,E,DBAG,N,25,2.0,0,C,PB,S,F,,,,,,
177,Low,Ireland,M,4,E,DBAG,N,4,1.0,1,c,PB,,M,,,,,,
178,Mid,USA,M,10,E,DBAG,N,4,2.0,0,m,PB,S,M,,,,,,
179,Low,UK,M,20,E,DBAG,N,4,1.0,1,m,PB,SR,M,,,,,,
180,Mid,USA,M,10,E,DBAP,N,27,4.0,1,m,FG,S,M,,,,,,
181,Low,USA,M,4,E,D,N,4,1.0,0,C,PB,SR,M,,,,,,
182,Very High,USA,M,15,E,DT,Y,3,5.0,1,m,PB,SR,M,,,,,,
183,Mid,UK,M,23,E,M,Y,5,1.0,0,c,PB,SE,M,,,,,,
184,Very Low,Canada,M,2,E,DBAG,N,2,1.0,0,t,PB,S,M,,,,,,
185,High,USA,M,23,EC,D,N,12,2.0,0,T,SG,S,M,,,,,,
186,High,USA,M,15,E,DBAG,N,15,3.0,1,c,PB,SE,M,,,,,,
187,Mid,USA,M,7,E,DBAG,N,7,1.0,0,m,PB,S,M,,,,,,
188,Mid,USA,M,7,E,DBAD,N,7,1.0,0,c,PB,S,M,,,,,,
189,High,USA,M,20,E,DA,N,20,4.0,0,C,E,S,M,,,,,,
190,High,USA,M,21,E,DT,N,25,4.0,1,c,PB,C,M,,,,,,
191,Very Low,UK,M,5,E,AN,N,3,1.0,5,c,PB,C,M,,,,,,
192,High,USA,M,10,E,DBAG,Y,2,1.0,3,c,FG,SE,M,,,,,,
193,Low,USA,M,7,E,DBAP,N,7,1.0,6,m,PB,SE,,,,,,,
194,High,USA,M,20,E,E,N,25,3.0,3,T,PB,S,M,,,,,,
195,High,USA,O,20,E,DBAP,Y,32,6.0,5,m,E,S,M,,,,,,
196,High,USA,M,9,E,A,N,32,4.0,0,c,SG,,M,,,,,,
197,Very Low,Argentina,M,9,E,DT,Y,12,1.0,1,m,PB,S,M,,,,,,
198,Low,USA,M,10,E,DT,N,6,2.0,2,C,PB,S,M,,,,,,
199,Very High,USA,M,25,E,DBAG,Y,15,3.0,2,m,PB,S,M,,,,,,
200,Very High,USA,M,14,E,M,Y,1,4.0,0,C,PB,,M,,,,,,
201,Very High,USA,M,15,E,DA,N,25,6.0,3,C,PB,S,M,,,,,,
202,High,USA,M,5,E,D,Y,5,1.0,1,C,PB,S,M,,,,,,
203,Very Low,UK,M,10,P,D,N,10,1.0,0,C,PB,C,F,,,,,,
204,Mid,USA,M,15,E,DBAG,N,1,3.0,0,c,PB,,M,,,,,,
205,High,USA,M,7,E,DBAG,N,7,3.0,6,C,PB,SE,M,,,,,,
206,Low,USA,M,7,E,DBAD,N,5,1.0,1,C,PB,S,M,,,,,,
207,Very High,USA,M,20,E,,Y,6,4.0,0,m,PB,S,M,,,,,,
208,High,USA,,13,E,DBAG,N,13,4.0,0,m,PB,SE,M,,,,,,
209,Low,USA,M,5,E,M,Y,2,1.0,1,C,PB,S,M,,,,,,
210,Low,USA,M,2,E,DBAP,N,2,1.0,0,C,PB,C,M,,,,,,
211,Low,USA,M,4,E,AN,N,4,1.0,2,C,PB,SR,F,,,,,,
212,Mid,USA,M,6,E,DBAG,N,6,2.0,0,m,PB,S,M,,,,,,
213,Very High,USA,M,20,E,DBAG,N,7,2.0,0,T,PB,S,M,,,,,,
214,Very Low,India,M,13,E,DBAP,N,8,4.0,6,m,PB,S,M,,,,,,
215,Mid,USA,M,8,E,DA,N,35,6.0,0,m,SG,SR,M,,,,,,
216,Very Low,Peru,M,8,EC,DBAP,N,8,2.0,0,m,PB,,M,,,,,,
217,High,USA,M,25,E,DA,Y,25,6.0,2,C,PB,S,M,,,,,,
218,Very High,USA,M,20,E,DBAD,Y,20,5.0,1,C,PB,S,M,,,,,,
219,High,Australia,M,11,E,DBAP,N,1,6.0,3,m,PB,SR,M,,,,,,
220,Very High,USA,M,24,E,DBAG,N,25,5.0,1,C,PB,S,F,,,,,,
221,Very High,Canada,M,15,E,DBAP,N,17,1.0,4,C,LG,S,M,,,,,,
222,Very High,USA,M,15,E,DBAD,N,15,2.0,1,m,PB,S,M,,,,,,
223,High,USA,M,14,E,DBAD,N,11,1.0,0,C,SG,S,M,,,,,,
224,Very High,USA,M,20,E,M,Y,24,1.0,0,m,PB,S,M,,,,,,
225,Very High,USA,M,10,E,DBAG,Y,4,1.0,0,m,PB,SR,M,,,,,,
226,Very High,USA,M,23,E,M,Y,35,5.0,0,t,PB,S,M,,,,,,
227,Low,USA,M,4,E,DBAG,N,4,2.0,2,C,PB,S,M,,,,,,
228,Low,Germany,M,11,E,DBAP,Y,11,2.0,1,m,PB,S,M,,,,,,
229,Very Low,India,M,9,E,DBAP,N,9,4.0,6,m,PB,SE,M,,,,,,
230,Mid,USA,M,18,E,DT,Y,13,1.0,6,c,PB,S,F,,,,,,
231,Mid,USA,M,8,E,D,N,20,3.0,0,c,NP,S,M,,,,,,
232,Low,Canada,M,6,E,DBAG,N,6,1.0,5,m,PB,S,M,,,,,,
233,Mid,USA,M,7,E,DA,N,42,6.0,6,C,E,S,M,,,,,,
234,Very Low,India,M,12,E,DBAD,N,14,4.0,0,m,PB,SE,M,,,,,,
235,Very High,USA,M,17,IC,A,N,28,6.0,0,m,PB,C,M,,,,,,
236,Low,USA,M,20,E,DA,N,25,1.0,0,C,LG,S,M,,,,,,
237,Very Low,Venezuela,M,17,E,DBAD,N,17,6.0,0,m,PB,S,M,,,,,,
238,Very Low,Spain,M,15,E,E,N,4,3.0,0,C,PB,SE,M,,,,,,
239,Very High,USA,M,21,E,DBAP,Y,21,5.0,0,m,PB,S,M,,,,,,
240,Mid,USA,M,8,E,AN,N,8,1.0,4,T,PB,S,M,,,,,,
241,Low,USA,M,5,E,DBAG,N,5,2.0,0,C,NP,S,M,,,,,,
242,Mid,USA,M,4,E,DBAP,N,4,1.0,0,m,PB,S,M,,,,,,
243,Mid,USA,M,20,EC,DBAD,Y,20,2.0,2,c,PB,S,M,,,,,,
244,High,USA,M,7,E,DBAP,Y,5,2.0,5,m,PB,SR,M,,,,,,
245,Very High,USA,M,10,E,DT,N,10,1.0,0,T,PB,S,M,,,,,,
246,Very Low,UK,M,3,E,DBAG,N,2,2.0,0,t,NP,S,M,,,,,,
247,High,USA,M,10,E,M,Y,5,1.0,0,m,NP,S,M,,,,,,
248,Low,UK,M,2,E,DBAG,N,2,1.0,0,m,PB,S,M,,,,,,
249,Low,USA,M,22,E,DT,N,1,5.0,1,m,SG,S,M,,,,,,
250,High,USA,M,15,E,DBAG,N,1,4.0,0,m,NP,S,F,,,,,,
251,Low,USA,M,7,E,DS,N,2,1.0,0,c,PB,S,F,,,,,,
252,Mid,Canada,M,20,IC,DA,N,25,2.0,0,m,PB,S,M,,,,,,
253,Mid,USA,M,10,E,E,N,25,5.0,1,C,PB,,M,,,,,,
254,Very High,USA,M,20,E,M,Y,3,1.0,3,C,PB,S,F,,,,,,
255,Very High,USA,A,15,E,A,N,2,1.0,6,m,PB,S,M,,,,,,
256,High,USA,A,2,E,DBAG,N,15,5.0,0,C,PB,,,,,,,,
257,Very High,USA,M,20,E,A,N,27,2.0,0,C,PB,S,M,,,,,,
258,Very High,Belgium,M,15,E,E,N,15,1.0,1,c,PB,S,M,,,,,,
259,Mid,USA,M,8,E,E,N,8,2.0,1,c,PB,SR,M,,,,,,
260,Very High,USA,M,20,EC,DBAP,N,20,1.0,0,m,NP,S,M,,,,,,
261,Low,Canada,M,15,E,DBAD,N,7,2.0,0,m,PB,S,F,,,,,,
262,Mid,USA,M,10,EC,DBAD,N,1,1.0,0,C,PB,S,M,,,,,,
263,Low,USA,M,3,E,D,N,8,6.0,2,C,PB,SE,F,,,,,,
264,Low,USA,M,3,E,DBAG,N,3,1.0,3,m,PB,C,M,,,,,,
265,Mid,Canada,M,15,E,E,Y,5,1.0,1,m,PB,S,F,,,,,,
266,High,USA,M,15,E,DBAG,N,25,2.0,2,T,E,C,M,,,,,,
267,Mid,USA,M,7,E,DBAP,N,2,1.0,1,c,PB,S,M,,,,,,
268,Mid,USA,M,20,E,DBAG,N,5,3.0,0,c,NP,S,M,,,,,,
269,Mid,USA,M,25,EC,,N,35,4.0,1,C,PB,S,M,,,,,,
270,Low,Israel,M,14,E,DBAP,N,14,3.0,1,C,PB,SR,M,,,,,,
271,Low,USA,M,12,E,D,N,12,3.0,2,C,PB,C,M,,,,,,
272,Very High,USA,M,16,E,A,N,25,3.0,0,C,SG,S,F,,,,,,
273,Very Low,Poland,M,8,E,D,N,8,4.0,0,C,PB,SR,M,,,,,,
274,Very High,USA,M,21,E,A,N,15,5.0,0,C,PB,S,M,,,,,,
275,Very Low,France,M,10,E,DBAP,N,24,6.0,0,m,PB,SE,M,,,,,,
276,Very High,USA,M,24,E,A,Y,18,6.0,0,C,PB,S,M,,,,,,
277,Low,UK,M,9,E,DBAP,N,3,4.0,0,m,PB,S,M,,,,,,
278,Very Low,Canada,M,8,E,DA,N,8,1.0,3,T,PB,S,M,,,,,,
279,Very High,USA,M,10,E,DBAP,N,10,6.0,5,m,PB,S,M,,,,,,
280,Low,UK,M,11,E,DA,N,9,3.0,6,T,PB,S,M,,,,,,
281,Very High,USA,M,5,E,DBAD,N,5,1.0,0,m,E,S,F,,,,,,
282,High,USA,M,7,E,DBAG,N,8,2.0,1,t,PB,,M,,,,,,
283,Mid,USA,M,7,E,E,N,7,4.0,2,C,PB,S,M,,,,,,
284,Very High,Canada,M,21,IC,DT,N,21,6.0,2,t,PB,S,M,,,,,,
285,Very Low,Malaysia,M,9,E,DBAP,Y,9,5.0,1,m,PB,,M,,,,,,
286,Mid,USA,M,14,E,DT,N,20,1.0,0,c,PB,C,M,,,,,,
287,Very High,USA,M,12,E,DBAG,Y,12,1.0,1,m,PB,S,,,,,,,
288,Low,USA,M,15,E,DT,N,15,2.0,5,T,PB,SR,M,,,,,,
289,Low,USA,M,7,EC,DT,N,7,4.0,3,T,PB,C,M,,,,,,
290,Very High,USA,M,20,E,A,N,9,1.0,0,C,PB,S,M,,,,,,
291,Very High,USA,M,23,EC,A,N,20,6.0,0,T,SG,S,M,,,,,,
292,Very High,USA,M,20,E,M,Y,20,3.0,0,C,PB,S,M,,,,,,
293,Very High,USA,M,19,E,M,Y,15,2.0,0,t,E,S,M,,,,,,
294,High,USA,M,20,E,DBAG,N,20,6.0,0,c,PB,S,M,,,,,,
295,High,USA,M,25,E,DBAG,N,22,3.0,0,C,PB,S,F,,,,,,
296,Very High,Sweden,M,20,E,DBAG,N,2,6.0,2,C,PB,SR,M,,,,,,
297,Very High,USA,M,16,E,DBAG,N,6,2.0,4,C,PB,S,M,,,,,,
298,Low,USA,M,3,E,DBAG,N,3,2.0,2,c,PB,,M,,,,,,
299,High,USA,M,15,E,E,N,20,2.0,2,m,PB,SR,M,,,,,,
300,High,USA,M,20,E,M,Y,20,1.0,1,c,PB,C,F,,,,,,
301,Very High,USA,M,20,E,DBAG,Y,4,4.0,1,m,PB,S,M,,,,,,
302,Very High,USA,MS,5,E,DBAG,N,5,2.0,1,C,PB,SE,M,,,,,,
303,Very High,USA,M,15,IC,DBAD,N,10,4.0,0,T,PB,S,M,,,,,,
304,Mid,USA,M,20,E,DBAG,N,15,2.0,0,c,LG,S,M,,,,,,
305,Mid,USA,M,5,E,DBAG,N,16,2.0,0,m,LG,S,M,,,,,,
306,Low,USA,M,5,E,DBAP,N,5,1.0,0,m,PB,S,M,,,,,,
307,Mid,USA,M,20,E,DBAG,N,20,4.0,0,C,PB,S,M,,,,,,
308,High,USA,M,6,E,DBAG,N,3,3.0,3,c,E,SR,M,,,,,,
