SalaryUSD|Country|PrimaryDatabase|YearsWithThisDatabase|EmploymentStatus|JobTitle|ManageStaff|YearsWithThisTypeOfJob|HowManyCompanies|OtherPeopleOnYourTeam|PopulationOfLargestCityWithin20Miles|EmploymentSector|CareerPlansThisYear|Gender|DatabaseServers|Education|EducationIsComputerRelated|Certifications|HoursWorkedPerWeek|TelecommuteDaysPerWeek
78800|France|M|14|E|E|Y|4|2|0|C|PB|S|M||||||
85000|Canada|M|20|E|M|Y|5|4|2|m|PB|S|M||||||
116000|USA|M|15|E|DBAD|N|20|3|0|C|PB|S|F||||||
105000|USA|M|10|E|DBAG|N|5|2|1|C|NP|SE|M||||||
118000|USA|M|9|E|DBAG|Y|9|1|0|C|PB|S|M||||||
75000|USA|M|10|E|DBAD|N|10|2|1|m|PB|S|M||||||
130000|USA|M|12|E|M|Y|2|3|0|c|PB|SR|M||||||
99000|USA|M|7|E|DT|Y|5|2|1|m|PB|S|M||||||
115000|USA|M|20|E|DBAP|N|20|3|3|T|NP|S|M||||||
80000|USA|M|6|EC|DBAG|N|1|1|0|C|PB|S|M||||||
83000|USA|M|6|E|DBAD|N|1|1|0|t|PB|S|M||||||
110000|USA|M|22|E|DBAP|N|21|5|3|c|PB|S|M||||||
85000|USA|M|2|E|DBAG|N|2|1|1|T|PB||M||||||
110000|USA|M|18|E|DBAP|N|18|1|1|C|PB|S|F||||||
100000|USA|M|5|E|DBAG|Y|1|2|1|m|PB||M||||||
145000|USA|M|15|EC|DBAG|N|20|6|4|c|SG|S|M||||||
73000|USA|M|6|E|DBAG|Y|2|2|0|T|E|C|M||||||
55854|UK|M|4|E|DBAG|N|4|2|2|C|PB|S|M||||||
130000|USA|M|9|E|M|Y|4|1|6|C|PB|S|M||||||
150000|USA|M|22|E|DBAG|N|13|2|1|m|PB|S|M||||||
103900|USA|M|10|E|M|Y|4|2|6|C|PB|SR|M||||||
100000|USA|M|13|E|DA|N|17|2|0|C|PB|S|M||||||
110000|USA|M|16|E|A|N|6|1|0|T|PB|SR|M||||||
165000|USA|M|30|E|DBAG|N|6|5|1|m|PB|S|M||||||
103000|USA|M|15|E|DBAP|Y|14|2|6|T|PB|S|M||||||
10200|USA|M|25|E|A|N|15|3|0|c|E|S|M||||||
32000|Poland|M|13|E|DBAP|Y|13|1|2|m|PB|S|M||||||
162500|USA|M|22|E|M|Y|11|3|6|C|PB|C|M||||||
75736|USA|M|2|E|DBAP|N|3|1|4|C|PB|S|F||||||
81000|USA|M|8|E|D|Y|6|2|2|C|PB||F||||||
91000|USA|M|18|E|DBAG|Y|12|1|2|T|PB|S|M||||||
85185|Canada|M|24|E|M|Y|2|1|6|C|PB|S|M||||||
158567|USA|M|22|E|DA|Y|22|2|0|C|PB|S|M||||||
95000|USA|A|1|E|D|N|3|1|2|c|E|S|F||||||
130000|USA|M|13|E|DBAG|N|8|3|2|m|SG|SE|M||||||
90000|USA|M|2|E|DBAP|Y|1|1|0|c|PB|SR|M||||||
110000|USA|M|12|E|DBAG|N|8|4|1|m|PB|SR|M||||||
130000|USA|M|8|E|M|Y|3|2|0|t|PB|S|M||||||
95000|USA|M|17|E|DT|N|7|2|3|m|PB|S|M||||||
75000|Romania|M|3|E|A|Y|22|2|0|m|PB|C|M||||||
120000|USA|M|15|IC|DBAG|N|30|6|6|C|SG|S|M||||||
72000|USA|MS|1|E|DBAP|N|1|1|0|C|PB|S|||||||
85000|USA|M|9|E|DBAG|N|7|1|0|c|LG|S|M||||||
140000|USA|M|13|E|DBAG|Y|13|4|1|c|PB|S|M||||||
140000|USA|M|20|IC|DT|N|20|6|0|m|PB|S|M||||||
44000|UK|M|10|E|DBAP|N|10|3|2|t|E|SR|M||||||
135000|USA|M|17|E|DBAG|N|17|6|6|C|PB|S|M||||||
120000|USA|M|7|EC|DBAG|N|7|2|2|C|PB|SR|M||||||
110000|USA|M|8|E|DBAG|Y|8|4|3|m|NP|S|M||||||
66000|UK|M|15|E|M|Y|13|1|0|T|PB|C|M||||||
155000|Ireland|M|20|E|M|Y|20|2|1|m|PB|S|M||||||
117000|USA|M|13|E|DT|N|13|2|0|T|E|S|M||||||
65000|UK|M|17|E|DBAG|N|27|6|0|m|E|S|M||||||
145000|USA|M|20|EC|D|N|7|5|2|m|PB|S|M||||||
145700|USA|M|20|E|DBAG|N|19|2|2|c|NP|S|M||||||
85000|USA|M|8|E|AN|N|8|1|1|C|E|S|M||||||
115000|USA|M|6|E|DBAG|Y|5|1|2|m|PB|S|M||||||
64000|UK|M|10|E|DT|N|2|2|0|C|PB|S|M||||||
42000|South-Africa|M|14|E|D|N|14|3|0|t|PB|SE|M||||||
130000|USA|M|13|E|DBAG|Y|6|3|0|m|PB|S|M||||||
56000|UK|M|8|E|DBAG|N|8|1|0|C|PB|S|M||||||
150000|USA|M|15|E|E|N|21|1|0|C|PB|S|M||||||
131229|USA|M|13|E|D|N|10|3|0|c|PB|S|M||||||
100000|USA|M|15|E|DBAG|N|15|2|1|m|E|SE|F||||||
80000|USA|M|12|E|DA|N|12|2|0|m|E|S|M||||||
140000|USA|M|10|E|D|N|12|2|1|m|PB|S|M||||||
29900|India|M|13|EC|DBAD|N|13|1|0|C|PB|SR|M||||||
95000|USA|O|20|E|DBAG|N|10|2|1|c|NP|S|M||||||
25000|Portugal|M|2|E|DBAD|N|2|1|0|C|PB|S|M||||||
180000|USA|M|15|IC|DA|Y|20|4|1|C|PB|S|M||||||
116000|USA|M|20|E|DBAG|N|5|6|0|m|PB|S|M||||||
105000|USA|M|17|E|D|N|17|1|1|m|PB|S|M||||||
89000|USA|M|15|EC|DBAD|N|15|2|1|m|PB|S|F||||||
100000|USA|M|8|E|DA|N|8|3|6|c|PB|S|M||||||
82000|Canada|M|9|E|DBAP|N|9|3|1|m|PB|SR|M||||||
58000|USA|M|1|E|DBAD|N|1|1|1|c|PB|SE|M||||||
115000|USA|M|25|E|DBAD|N|25|6|1|c|PB||M||||||
110000|USA|M|13|E|DBAG|N|13|2|0|m|PB|S|M||||||
202000|USA|M|20|E|E|N|1|1|3|m|PB||M||||||
113300|USA|MS|3|E|DBAP|Y|22|4|0|m|PB|SE|M||||||
53000|UK|M|3|E||N|3|1|0|C|SG|S|M||||||
145000|USA|M|22|EC|DBAG|N|3|5|4|T|PB|S|M||||||
180000|UK|M|15|E|A|N|15|6|0|c|FG|SE|M||||||
127500|USA|M|25|E|DBAD|N|10|3|0|T|PB|S|M||||||
106000|USA|M|6|E|DT|N|6|2|6|C|PB||M||||||
76650|USA|M|15|E|DBAG|N|15|1|4|m|PB|S|M||||||
130000|USA|M|14|E|DBAD|N|2|4|5|c|PB|S|M||||||
96000|USA|M|1|E|DBAG|N|17|3|0|m|PB|S|M||||||
110000|USA|M|8|E|DBAG|Y|6|1|6|C|PB|S|M||||||
90000|USA|M|18|E|M|Y|2|1|5|C|SG|S|M||||||
110000|USA|M|8|E|DT|N|8|4|4|C|PB|S|M||||||
137000|USA|M|20|E|DBAG|N|11|2|6|m|PB||M||||||
65000|Romania|M|12|IC|DBAG|N|6|1|0|C|PB|S|M||||||
110000|USA|M|20|E|DA|N|24|1|1|m|PB|S|M||||||
118000|USA|M|16|E|DBAG|N|16|3|5|C|PB|S|M||||||
86000|USA|M|12|E|DBAG|N|12|1|0|c|E|S|M||||||
90347|USA|M|6|E|DA|N|8|1|2|C|PB|S|M||||||
59000|USA|M|1|E||N|2|1|0|T|PB|C|M||||||
160000|USA|M|8|IC|D|N|8|6|3|m|NP|S|M||||||
200000|USA|M|25|E|M|Y|10|6|0|C|PB|S|M||||||
50000|UK|M|8|E|DBAG|N|2|1|1|T|PB|SR|M||||||
102500|USA|M|14|E|DBAG|N|10|2|0|m|PB|S|M||||||
105000|USA|M|20|E|DBAP|N|20|2|0|c|PB|S|M||||||
90000|CostaRica|M|15|E|DBAG|Y|15|2|1|t|PB|SE|M||||||
119000|USA|M|14|E|DBAP|N|14|3|2|m|PB|SR|M||||||
98259|USA|M|23|E|DA|N|32|2|0|t|LG|S|M||||||
75000|Canada|M|8|E|DA|N|16|3|1|m|PB|S|M||||||
90000|USA|M|18|E|M|Y|2|1|0|C|SG|S|M||||||
115000|USA|M|20|E|DBAG|N|6|5|2|m|LG|S|M||||||
118500|USA|M|25|E|DBAD|N|15|3|0|m|PB|S|M||||||
137700|USA|M|27|E|A|N|30|5|0|c|PB|S|M||||||
78200|USA|M|5|E|DBAD|N|1|2|2|c|PB|S|M||||||
55000|UK|M|15|E|DBAP|N|8|3|0|c|PB|C|M||||||
100000|Israel|M|5|E|DBAD|N|4|3|1|C|PB|S|M||||||
102000|USA|M|8|E|DBAP|N|6|1|6|C|PB|S|M||||||
90000|Ireland|M|23|E|DBAG|N|14|4|1|c|PB|S|M||||||
172000|USA|M|21|E|DBAG|Y|17|2|0|c|PB|SR|M||||||
92000|USA|M|25|E|DBAG|N|25|2|0|C|PB|S|F||||||
68000|Ireland|M|4|E|DBAG|N|4|1|1|c|PB||M||||||
90000|USA|M|10|E|DBAG|N|4|2|0|m|PB|S|M||||||
79773|UK|M|20|E|DBAG|N|4|1|1|m|PB|SR|M||||||
100000|USA|M|10|E|DBAP|N|27|4|1|m|FG|S|M||||||
63000|USA|M|4|E|D|N|4|1|0|C|PB|SR|M||||||
129000|USA|M|15|E|DT|Y|3|5|1|m|PB|SR|M||||||
82000|UK|M|23|E|M|Y|5|1|0|c|PB|SE|M||||||
57000|Canada|M|2|E|DBAG|N|2|1|0|t|PB|S|M||||||
108000|USA|M|23|EC|D|N|12|2|0|T|SG|S|M||||||
109000|USA|M|15|E|DBAG|N|15|3|1|c|PB|SE|M||||||
94000|USA|M|7|E|DBAG|N|7|1|0|m|PB|S|M||||||
93000|USA|M|7|E|DBAD|N|7|1|0|c|PB|S|M||||||
112000|USA|M|20|E|DA|N|20|4|0|C|E|S|M||||||
120000|USA|M|21|E|DT|N|25|4|1|c|PB|C|M||||||
41200|UK|M|5|E|AN|N|3|1|5|c|PB|C|M||||||
106000|USA|M|10|E|DBAG|Y|2|1|3|c|FG|SE|M||||||
81000|USA|M|7|E|DBAP|N|7|1|6|m|PB|SE|||||||
110000|USA|M|20|E|E|N|25|3|3|T|PB|S|M||||||
121000|USA|O|20|E|DBAP|Y|32|6|5|m|E|S|M||||||
102000|USA|M|9|E|A|N|32|4|0|c|SG||M||||||
50000|Argentina|M|9|E|DT|Y|12|1|1|m|PB|S|M||||||
75000|USA|M|10|E|DT|N|6|2|2|C|PB|S|M||||||
155000|USA|M|25|E|DBAG|Y|15|3|2|m|PB|S|M||||||
135000|USA|M|14|E|M|Y|1|4|0|C|PB||M||||||
140000|USA|M|15|E|DA|N|25|6|3|C|PB|S|M||||||
115000|USA|M|5|E|D|Y|5|1|1|C|PB|S|M||||||
56000|UK|M|10|P|D|N|10|1|0|C|PB|C|F||||||
90000|USA|M|15|E|DBAG|N|1|3|0|c|PB||M||||||
105000|USA|M|7|E|DBAG|N|7|3|6|C|PB|SE|M||||||
76500|USA|M|7|E|DBAD|N|5|1|1|C|PB|S|M||||||
145000|USA|M|20|E||Y|6|4|0|m|PB|S|M||||||
107000|USA||13|E|DBAG|N|13|4|0|m|PB|SE|M||||||
70000|USA|M|5|E|M|Y|2|1|1|C|PB|S|M||||||
73800|USA|M|2|E|DBAP|N|2|1|0|C|PB|C|M||||||
65000|USA|M|4|E|AN|N|4|1|2|C|PB|SR|F||||||
97500|USA|M|6|E|DBAG|N|6|2|0|m|PB|S|M||||||
124000|USA|M|20|E|DBAG|N|7|2|0|T|PB|S|M||||||
54000|India|M|13|E|DBAP|N|8|4|6|m|PB|S|M||||||
93000|USA|M|8|E|DA|N|35|6|0|m|SG|SR|M||||||
25000|Peru|M|8|EC|DBAP|N|8|2|0|m|PB||M||||||
112000|USA|M|25|E|DA|Y|25|6|2|C|PB|S|M||||||
150000|USA|M|20|E|DBAD|Y|20|5|1|C|PB|S|M||||||
113000|Australia|M|11|E|DBAP|N|1|6|3|m|PB|SR|M||||||
128000|USA|M|24|E|DBAG|N|25|5|1|C|PB|S|F||||||
145352|Canada|M|15|E|DBAP|N|17|1|4|C|LG|S|M||||||
150000|USA|M|15|E|DBAD|N|15|2|1|m|PB|S|M||||||
122000|USA|M|14|E|DBAD|N|11|1|0|C|SG|S|M||||||
245000|USA|M|20|E|M|Y|24|1|0|m|PB|S|M||||||
185000|USA|M|10|E|DBAG|Y|4|1|0|m|PB|SR|M||||||
143000|USA|M|23|E|M|Y|35|5|0|t|PB|S|M||||||
80000|USA|M|4|E|DBAG|N|4|2|2|C|PB|S|M||||||
62000|Germany|M|11|E|DBAP|Y|11|2|1|m|PB|S|M||||||
27800|India|M|9|E|DBAP|N|9|4|6|m|PB|SE|M||||||
92000|USA|M|18|E|DT|Y|13|1|6|c|PB|S|F||||||
88000|USA|M|8|E|D|N|20|3|0|c|NP|S|M||||||
63000|Canada|M|6|E|DBAG|N|6|1|5|m|PB|S|M||||||
90000|USA|M|7|E|DA|N|42|6|6|C|E|S|M||||||
32000|India|M|12|E|DBAD|N|14|4|0|m|PB|SE|M||||||
208000|USA|M|17|IC|A|N|28|6|0|m|PB|C|M||||||
72000|USA|M|20|E|DA|N|25|1|0|C|LG|S|M||||||
10000|Venezuela|M|17|E|DBAD|N|17|6|0|m|PB|S|M||||||
36000|Spain|M|15|E|E|N|4|3|0|C|PB|SE|M||||||
153000|USA|M|21|E|DBAP|Y|21|5|0|m|PB|S|M||||||
82000|USA|M|8|E|AN|N|8|1|4|T|PB|S|M||||||
81000|USA|M|5|E|DBAG|N|5|2|0|C|NP|S|M||||||
88000|USA|M|4|E|DBAP|N|4|1|0|m|PB|S|M||||||
98000|USA|M|20|EC|DBAD|Y|20|2|2|c|PB|S|M||||||
110000|USA|M|7|E|DBAP|Y|5|2|5|m|PB|SR|M||||||
125000|USA|M|10|E|DT|N|10|1|0|T|PB|S|M||||||
50532|UK|M|3|E|DBAG|N|2|2|0|t|NP|S|M||||||
117000|USA|M|10|E|M|Y|5|1|0|m|NP|S|M||||||
70000|UK|M|2|E|DBAG|N|2|1|0|m|PB|S|M||||||
80000|USA|M|22|E|DT|N|1|5|1|m|SG|S|M||||||
115000|USA|M|15|E|DBAG|N|1|4|0|m|NP|S|F||||||
73000|USA|M|7|E|DS|N|2|1|0|c|PB|S|F||||||
100000|Canada|M|20|IC|DA|N|25|2|0|m|PB|S|M||||||
92000|USA|M|10|E|E|N|25|5|1|C|PB||M||||||
135000|USA|M|20|E|M|Y|3|1|3|C|PB|S|F||||||
151800|USA|A|15|E|A|N|2|1|6|m|PB|S|M||||||
105000|USA|A|2|E|DBAG|N|15|5|0|C|PB||||||||
154000|USA|M|20|E|A|N|27|2|0|C|PB|S|M||||||
950000|Belgium|M|15|E|E|N|15|1|1|c|PB|S|M||||||
85000|USA|M|8|E|E|N|8|2|1|c|PB|SR|M||||||
147000|USA|M|20|EC|DBAP|N|20|1|0|m|NP|S|M||||||
61000|Canada|M|15|E|DBAD|N|7|2|0|m|PB|S|F||||||
99000|USA|M|10|EC|DBAD|N|1|1|0|C|PB|S|M||||||
75000|USA|M|3|E|D|N|8|6|2|C|PB|SE|F||||||
69000|USA|M|3|E|DBAG|N|3|1|3|m|PB|C|M||||||
95000|Canada|M|15|E|E|Y|5|1|1|m|PB|S|F||||||
108000|USA|M|15|E|DBAG|N|25|2|2|T|E|C|M||||||
82000|USA|M|7|E|DBAP|N|2|1|1|c|PB|S|M||||||
91000|USA|M|20|E|DBAG|N|5|3|0|c|NP|S|M||||||
96000|USA|M|25|EC||N|35|4|1|C|PB|S|M||||||
80000|Israel|M|14|E|DBAP|N|14|3|1|C|PB|SR|M||||||
77000|USA|M|12|E|D|N|12|3|2|C|PB|C|M||||||
158700|USA|M|16|E|A|N|25|3|0|C|SG|S|F||||||
51000|Poland|M|8|E|D|N|8|4|0|C|PB|SR|M||||||
145000|USA|M|21|E|A|N|15|5|0|C|PB|S|M||||||
60000|France|M|10|E|DBAP|N|24|6|0|m|PB|SE|M||||||
200000|USA|M|24|E|A|Y|18|6|0|C|PB|S|M||||||
66500|UK|M|9|E|DBAP|N|3|4|0|m|PB|S|M||||||
52000|Canada|M|8|E|DA|N|8|1|3|T|PB|S|M||||||
140000|USA|M|10|E|DBAP|N|10|6|5|m|PB|S|M||||||
70000|UK|M|11|E|DA|N|9|3|6|T|PB|S|M||||||
123000|USA|M|5|E|DBAD|N|5|1|0|m|E|S|F||||||
120000|USA|M|7|E|DBAG|N|8|2|1|t|PB||M||||||
90000|USA|M|7|E|E|N|7|4|2|C|PB|S|M||||||
140000|Canada|M|21|IC|DT|N|21|6|2|t|PB|S|M||||||
45000|Malaysia|M|9|E|DBAP|Y|9|5|1|m|PB||M||||||
94000|USA|M|14|E|DT|N|20|1|0|c|PB|C|M||||||
145000|USA|M|12|E|DBAG|Y|12|1|1|m|PB|S|||||||
70000|USA|M|15|E|DT|N|15|2|5|T|PB|SR|M||||||
80000|USA|M|7|EC|DT|N|7|4|3|T|PB|C|M||||||
165000|USA|M|20|E|A|N|9|1|0|C|PB|S|M||||||
140000|USA|M|23|EC|A|N|20|6|0|T|SG|S|M||||||
164000|USA|M|20|E|M|Y|20|3|0|C|PB|S|M||||||
125000|USA|M|19|E|M|Y|15|2|0|t|E|S|M||||||
117500|USA|M|20|E|DBAG|N|20|6|0|c|PB|S|M||||||
115000|USA|M|25|E|DBAG|N|22|3|0|C|PB|S|F||||||
612000|Sweden|M|20|E|DBAG|N|2|6|2|C|PB|SR|M||||||
155000|USA|M|16|E|DBAG|N|6|2|4|C|PB|S|M||||||
79000|USA|M|3|E|DBAG|N|3|2|2|c|PB||M||||||
112000|USA|M|15|E|E|N|20|2|2|m|PB|SR|M||||||
120000|USA|M|20|E|M|Y|20|1|1|c|PB|C|F||||||
144000|USA|M|20|E|DBAG|Y|4|4|1|m|PB|S|M||||||
125000|USA|MS|5|E|DBAG|N|5|2|1|C|PB|SE|M||||||
300000|USA|M|15|IC|DBAD|N|10|4|0|T|PB|S|M||||||
85000|USA|M|20|E|DBAG|N|15|2|0|c|LG|S|M||||||
92000|USA|M|5|E|DBAG|N|16|2|0|m|LG|S|M||||||
75500|USA|M|5|E|DBAP|N|5|1|0|m|PB|S|M||||||
89500|USA|M|20|E|DBAG|N|20|4|0|C|PB|S|M||||||
102000|USA|M|6|E|DBAG|N|3|3|3|c|E|SR|M||||||
130000|USA|M|18|E|DBAG|N|18|6|5|C|E|C|M||||||
76500|USA|P|1|E|DA|N|2|1|5|C|PB|S|M||||||
61000|Netherlands|M|1|E|DBAP|N|20|1|3|c|LG|S|M||||||
34000|Russia|M|14|E|DBAP|Y|5|3|4|m|PB|SR|M||||||
140000|USA|M|25|E|DT|N|25|4|6|m|PB|S|M||||||
60000|USA|M|6|E|M|N|6|1|0|c|PB|SE|M||||||
160000|USA|M|20|E|E|N|20|4|0|m|PB|SE|M||||||
71000|Ireland|M|15|E|DBAP|N|15|2|1|m|PB|SR|M||||||
125000|USA|M|10|E|DA|Y|15|2|2|m|PB|S|M||||||
51000|Canada|M|7|E|DBAD|Y|2|2|0|m|PB|S|F||||||
64000|USA|M|15|E|DBAP|N|18|1|6|T|E|S|M||||||
70000|USA|M|5|E|AN|N|5|3|2|c|SG|SR|M||||||
82000|USA|M|15|E|DBAG|N|15|4|0|C|PB|C|M||||||
90500|Canada|M|5|E|DBAG|Y|5|1|2|m|PB|SE|M||||||
40000|Italy|M|29|E|DBAG|Y|15|5|0|c|PB|SR|M||||||
168000|USA|M|15|E|A|N|4|2|0|C|PB|S|M||||||
32000|India|M|10|E|A|N|3|4|1|m|PB|S|M||||||
104000|Canada|M|25|E|A|Y|25|1|6|m|PB|S|M||||||
79000|USA|M|4|E|DT|N|4|2|1|m|PB|C|M||||||
127000|USA|M|20|E|D|N|20|5|1|C|PB|SR|M||||||
93000|USA|M|10|E|DBAG|N|0|2|0|T|PB|S|M||||||
80000|USA|M|8|E|DBAG|N|8|2|0|c|PB|SE|M||||||
88000|Canada|O|15|E|DBAD|N|15|1|2|C|PB|S|M||||||
119000|USA|M|25|E|DBAG|Y|25|6|3|C|PB|S|M||||||
92000|USA|M|6|E|DBAD|N|7|2|3|c|PB|S|M||||||
110000|USA|M|20|E|D|N|17|2|0|t|NP|S|M||||||
275000|USA|M|16|E|M|Y|10|3|0|C|PB|S|M||||||
80000|USA|M|6|EC|DBAG|N|6|3|4|C|PB|SR|M||||||
135000|USA|M|10|E|DT|Y|12|1|1|m|PB|S|M||||||
107300|Poland|M|7|IC|A|N|7|4|0|C|PB|C|M||||||
125860|USA|M|25|E|D|N|20|3|0|C|PB|S|F||||||
106000|USA|M|11|E|A|N|10|1|0|c|SG|S|M||||||
90000|USA|M|10|E|DBAP|N|4|1|0|C|PB|S|M||||||
85000|USA|M|20|E|DT|N|5|2|1|c|NP|S|M||||||
130000|USA|M|15|E|DBAG|N|5|2|1|m|PB|SE|F||||||
90000|USA|M|20|E|DBAP|N|20|5|5|c|PB|S|F||||||
200000|USA|M|24|EC|AN|Y|24|3|3|C|PB|SE|M||||||
81112|USA|M|4|E|DBAD|N|3|1|1|m|PB|S|M||||||
130000|USA|M|33|E|DBAG|N|33|6|0|m|PB|S|F||||||
45000|Portugal|M|9|E|DBAD|Y|10|2|1|C|PB|SE|M||||||
105000|USA|M|10|E|A|Y|6|2|0|m|PB|S|M||||||
125000|Germany|M|15|E|D|N|15|6|2|m|PB|S|M||||||
135000|USA|A|1|E|A|N|5|1|5|C|PB|SR|F||||||
53000|UK|M|20|E|DBAD|Y|25|1|0|C|PB||M||||||
120000|USA|RDS|3|E|DS|Y|3|1|0|C|PB||M||||||
72000|Poland|M|8|E|DBAG|N|8|2|3|C|PB||M||||||
170000|USA|M|16|EC|DBAG|N|16|4|0|C|PB|SR|M||||||
176000|USA|M|15|E|DBAD|N|10|1|1|c|PB|S|M||||||
113000|USA|M|8|E|E|N|7|2|0|m|PB|S|M||||||
100000|USA|M|20|E|DBAP|N|20|4|0|c|PB|S|M||||||
152000|USA|M|21|E|DBAP|N|21|5|4|c|PB|S|M||||||
40000|UK|M|4|E|DBAP|N|4|2|0|m|PB|C|F||||||
65147|UK|M|4|E|DBAD|N|3|2|4|m|PB|SR|M||||||
154000|USA|M|10|E|DBAD|N|35|3|2|m|FG|SR|F||||||
160000|UK|M|16|IC|DBAG|N|16|6|1|t|PB|SR|M||||||
88000|USA|M|14|E|A|N|7|1|0|t|PB|C|M||||||
98500|USA|M|15|E|DBAD|N|23|4|0|C|FG|S|M||||||
67500|UK|M|13|E|DBAP|N|13|5|1|c|NP|SE|M||||||
90000|USA|O|10|E|DBAG|N|20|1|2|C|NP|S|M||||||
145000|USA|M|11|E|A|N|2|1|0|m|PB|S|M||||||
95000|USA|M|20|E|DA|N|20|2|0|m|PB|SR|M||||||
63000|USA|M|5|E|AN|N|5|1|3|m|PB|S|M||||||
113000|USA|M|15|E|DBAG|N|15|4|2|T|PB|S|M||||||
125000|USA|M|18|E|DBAP|N|18|2|1|c|PB|C|M||||||
